,Tow_From_Address,tow_lat,tow_lon,count
300,CHAPEL ST SOUTH & HIGH ST,41.77085772,-72.67910931,11
301,CHAPEL ST SOUTH & TRUMBULL ST,41.76949091,-72.67535604,11
302,ENFIELD ST & GREENFIELD ST,41.78335203,-72.68498894,11
303,FAIRFIELD AV & LINNMOORE ST,41.73327378,-72.69234537,11
304,GRAY ST & SISSON AV,41.76422948,-72.70703018,11
305,I 91S-FROM AIRPORT RD,NA,NA,11
306,MAIN ST & MONTVILLE ST,41.79417032,-72.66462307,11
307,MAIN ST & SEYMS ST,41.77748009,-72.67647925,11
308,MAIN ST & WETHERSFIELD AV,41.75584236,-72.67513683,11
309,NEW BRITAIN AV & NEWINGTON AV,41.73317939,-72.7062106,11
310,1 GARDEN ST,41.76836941,-72.68421158,10
311,1 SPRUCE ST,41.76975336,-72.68232138,10
312,10 COLUMBUS BLVD,41.75964416,-72.6690902,10
313,10 LINCOLN ST,41.75364225,-72.683667,10
314,100 TRUMBULL ST,41.76569951,-72.67594138,10
315,14 WILLARD ST,41.77111742,-72.69514777,10
316,145 BARKER ST,41.74279361,-72.67959745,10
317,15 WILLARD ST,41.77122453,-72.6952658,10
318,160 NEW BRITAIN AV,41.74505868,-72.6884919,10
319,161 WASHINGTON ST,41.75769162,-72.68292738,10
320,181 COLLINS ST,41.77266596,-72.69087827,10
321,183 WETHERSFIELD AV,41.7507255,-72.67419562,10
322,195 AFFLECK ST,41.7577352,-72.68948669,10
323,2 TOWNLEY ST,41.77193779,-72.69506314,10
324,23 MARSHALL ST,41.76951012,-72.69853024,10
325,235 FARMINGTON AV,41.76747019,-72.69612472,10
326,24 OWEN ST,41.76615602,-72.70448207,10
327,2495 MAIN ST,41.78838394,-72.67290869,10
328,253 COLLINS ST,41.77330089,-72.69433103,10
329,266 PEARL ST,41.76662566,-72.67865504,10
330,277 WETHERSFIELD AV,41.74820889,-72.6738404,10
331,30 LAUREL ST,41.75984938,-72.69651815,10
332,3080 MAIN ST,41.79377275,-72.66429597,10
333,34 PLINY ST,41.78048241,-72.68125846,10
334,352 LAUREL ST,41.76860474,-72.6971012,10
335,37 WILLARD ST,41.77205941,-72.69529644,10
336,393 GARDEN ST,41.77992555,-72.68506944,10
337,500 ALBANY AV,41.77788725,-72.68497694,10
338,503 NEW BRITAIN AV,41.7376515,-72.69870829,10
339,55 FOREST ST,41.76555012,-72.70088274,10
340,571 FARMINGTON AV,41.76593201,-72.7112585,10
341,585 WETHERSFIELD AV,41.73970528,-72.67217637,10
342,590 PARK ST,41.75815959,-72.68669568,10
343,60 GILLETT ST,41.76978589,-72.69944471,10
344,617 PARK ST,41.75794115,-72.6872056,10
345,69 JOHN ST,41.75917786,-72.6766453,10
346,89 JAMES ST,41.75968115,-72.71218711,10
347,898 GARDEN ST,41.79643098,-72.67888899,10
348,90 WEBSTER ST,41.74614464,-72.68291271,10
349,915 ASYLUM AV,41.77047609,-72.69520914,10
350,AFFLECK ST & PARK ST,41.75811237,-72.68929646,10
351,AIRPORT RD & BRAINARD RD,41.73918981,-72.66004256,10
352,ALBANY AV & SIGOURNEY ST,41.77971537,-72.68992818,10
353,ANN UCCELLO ST & CHAPEL ST NORTH,41.77098563,-72.67740486,10
354,ASYLUM AV & PROSPECT AV,41.7771503,-72.71395895,10
355,ASYLUM ST & SPRUCE ST,41.76792773,-72.68237724,10
356,BARBOUR ST & WESTLAND ST,41.79051681,-72.67805781,10
357,BROAD ST & BROWNELL AV,41.74901029,-72.68715621,10
358,BROAD ST & PARK ST,41.75805612,-72.68706814,10
359,BROAD ST & RUSS ST,41.76148379,-72.68687277,10
360,CHURCH ST & MAIN ST,41.76853142,-72.67304198,10
361,FLATBUSH AV & HILLSIDE AV,41.74430612,-72.69831773,10
362,FRANKLIN AV & VICTORIA RD,41.72802699,-72.67374323,10
363,HILLSIDE AV & NEW BRITAIN AV,41.73945759,-72.69734568,10
364,I 84E-FROM BROAD ST,NA,NA,10
365,I 91S-FROM JENNINGS RD,NA,NA,10
366,JEFFERSON ST & WASHINGTON ST,41.75541543,-72.68263595,10
367,MAIN ST & MATHER ST,41.77841741,-72.67639494,10
368,MAIN ST & TRUMBULL ST,41.7705825,-72.67433926,10
369,SISSON AV & WEST BLVD,41.76168856,-72.70667961,10
370,VINE ST & WESTLAND ST,41.79251036,-72.68669319,10
371,WINDSOR ST & PAVILION ST,41.78156219,-72.67166524,10
372,100 LAFAYETTE ST,41.76140865,-72.68239659,9
373,109 ADELAIDE ST,41.74151394,-72.67749364,9
374,123 MARTIN ST,41.78908934,-72.68054257,9
375,1258 BROAD ST,41.75212338,-72.68695889,9
376,165 BRAINARD RD,41.73507546,-72.6612295,9
377,165 SIGOURNEY ST,41.77095993,-72.69373019,9
378,176 SIGOURNEY ST,41.77162629,-72.69310327,9
379,180 EARLE ST,41.79253704,-72.67665183,9
380,225 SOUTH MARSHALL ST,41.76579454,-72.69897164,9
381,24 PARK PL,41.75933306,-72.69538641,9
382,240 SOUTH WHITNEY ST,41.76495433,-72.71045766,9
383,2423 MAIN ST,41.78755579,-72.67364057,9
384,294 FARMINGTON AV,41.76795737,-72.6987545,9
385,31 EVERGREEN AV,41.76533322,-72.70947489,9
386,31 MOUNTFORD ST,41.74198231,-72.68475509,9
387,350 BARBOUR ST,41.79487256,-72.67603914,9
388,367 FARMINGTON AV,41.76715052,-72.70205587,9
389,390 FARMINGTON AV,41.76750496,-72.70309667,9
390,447 GARDEN ST,41.78172531,-72.68446612,9
391,550 ALBANY AV,41.77823026,-72.68577609,9
392,56 ARBOR ST,41.75935976,-72.7032913,9
393,59 WEBSTER ST,41.74512959,-72.68321211,9
394,64 HUNTINGTON ST,41.77248202,-72.69118447,9
395,690 WETHERSFIELD AV,41.73742567,-72.67045708,9
396,76 MAIN ST,41.75638241,-72.67504375,9
397,83 WEBSTER ST,41.74595038,-72.68330273,9
398,85 WESTON ST,41.78618742,-72.66473869,9
399,920 BROAD ST,41.7568979,-72.68638982,9
400,944 ASYLUM AV,41.77129465,-72.69573681,9
401,950 ASYLUM AV,41.77128663,-72.69630073,9
402,999 ASYLUM AV,41.77112552,-72.69816752,9
403,BLUE HILLS AV & TOWER AV,41.80068027,-72.69480776,9
404,BROAD ST & LINCOLN ST,41.75339537,-72.68710967,9
405,BROAD ST & VERNON ST,41.75125638,-72.68713082,9
406,BROWN ST & MAPLE AV,41.73457497,-72.68714228,9
407,CAPITOL AV & SOUTH WHITNEY ST,41.76039415,-72.70944451,9
408,CHARTER OAK AV & COLUMBUS BLVD,41.75874227,-72.66949696,9
409,CHARTER OAK LANDING,41.75808049,-72.66571873,9
410,COLTS PK-WAWARME& LEDYARD,NA,NA,9
411,EVERGREEN AV & FARMINGTON AV,41.7664227,-72.70948521,9
412,FAIRFIELD AV & WHITE ST,41.73509707,-72.69280138,9
413,GARDEN ST & TOWER AV,41.79890639,-72.67827784,9
414,GRANT ST & NEW BRITAIN AV,41.73185173,-72.71304897,9
415,MARKET ST & TRUMBULL ST,41.77107138,-72.67100355,9
416,RETREAT AV & WASHINGTON ST,41.75108249,-72.68313409,9
417,1 HUNTINGTON ST,41.77031851,-72.69212246,8
418,1 SUMNER ST,41.769333,-72.69060116,8
419,100 WELLS ST,41.76361613,-72.67557671,8
420,102 CHARLOTTE ST,41.79486366,-72.68039232,8
421,11 ASYLUM ST,41.76646564,-72.67387653,8
422,125 NEW BRITAIN AV,41.74499922,-72.6868279,8
423,131 BRAINARD RD,41.73688327,-72.66007293,8
424,135 BROAD ST,41.76749924,-72.68658215,8
425,151 WEST SERVICE RD,41.79059996,-72.65707663,8
426,1650 MAIN ST,41.77719117,-72.67596756,8
427,172 WASHINGTON ST,41.75726928,-72.68235859,8
428,181 SIGOURNEY ST,41.77180562,-72.69346834,8
429,184 WETHERSFIELD AV,41.75090521,-72.67360345,8
430,186 COLLINS ST,41.77308675,-72.69088434,8
431,19 WILLARD ST,41.77154607,-72.69565708,8
432,2 WILLARD ST,41.77076264,-72.69524992,8
433,2074 PARK ST,41.75639461,-72.71375897,8
434,215 PEARL ST,41.76627504,-72.677366,8
435,217 PEARL ST,41.76638602,-72.67739023,8
436,22 PRATT ST,41.76756337,-72.67337374,8
437,22 SEYMS ST,41.77776644,-72.67750433,8
438,230 FARMINGTON AV,41.76831688,-72.69612475,8
439,248 LAUREL ST,41.76596245,-72.69692837,8
440,256 SOUTH MARSHALL ST,41.76667523,-72.69845593,8
441,27 HUNTINGTON ST,41.77133338,-72.69175885,8
442,270 JEFFERSON ST,41.75549144,-72.68642001,8
443,282 WASHINGTON ST,41.75387374,-72.68222036,8
444,31 TOWNLEY ST,41.772081,-72.69667639,8
445,3155 MAIN ST,41.7947494,-72.66451419,8
446,33 BENTON ST,41.74739133,-72.67525651,8
447,380 GARDEN ST,41.77933713,-72.68488778,8
448,382 FARMINGTON AV,41.76754283,-72.70271129,8
449,395 WETHERSFIELD AV,41.74502014,-72.67343539,8
450,443 FRANKLIN AV,41.73727634,-72.67564565,8
451,45 MOUNTFORD ST,41.74195224,-72.68532164,8
452,451 BARBOUR ST,41.79765363,-72.67618123,8
453,471 FARMINGTON AV,41.76645706,-72.70704248,8
454,48 EDGEWOOD ST,41.77858975,-72.69180137,8
455,50 FOREST ST,41.76517463,-72.70002713,8
456,55 EVERGREEN AV,41.76446201,-72.70927057,8
457,55 WILLARD ST,41.7726596,-72.69486262,8
458,593 GARDEN ST,41.78657372,-72.68281177,8
459,60 NILES ST,41.77011379,-72.69763759,8
460,602 ZION ST,41.75741322,-72.69180331,8
461,67 EVERGREEN AV,41.76404199,-72.7091744,8
462,67 WILLARD ST,41.7731444,-72.69498128,8
463,777 MAPLE AV,41.73867642,-72.68538808,8
464,78 MONTVILLE ST,41.79591597,-72.66766831,8
465,840 PARK ST,41.75836356,-72.69118858,8
466,ADELAIDE ST & WETHERSFIELD AV,41.74259119,-72.6726121,8
467,ALBANY AV & CENTER ST,41.77647492,-72.68104118,8
468,ALBANY AV & MAGNOLIA ST,41.77860069,-72.68782539,8
469,BARKER ST & FRANKLIN AV,41.74347707,-72.67643619,8
470,BROAD ST & WARD ST,41.75616153,-72.68708454,8
471,CAMPFIELD AV & OTIS ST,41.73929405,-72.68255298,8
472,CAPEN ST & MAIN ST,41.78426314,-72.67503803,8
